seq,link_type,speed_km_h,priority,
27,busway,50,2,
16,living_street,50,2,
25,motorway,120,2,
26,motorway_link,90,2,
6,primary,90,2,
23,primary_link,50,2,
2,residential,50,2,
11,secondary,50,2,
22,secondary_link,50,2,
5,service,40,2,
1,tertiary,50,2,
20,tertiary_link,50,2,
3,track,40,2,
18,track_grade1,40,2,
15,track_grade2,30,2,
24,track_grade3,20,2,
17,track_grade4,20,2,
8,track_grade5,20,2,
9,trunk,90,2,
19,trunk_link,60,2,
7,unclassified,30,1,
21,unknown,30,1,
28,bridleway,5,0,
4,cycleway,20,1,
14,footway,3,0,
10,path,5,0,
13,pedestrian,5,0,
12,steps,5,0,
