Destination_ID,to_8_00_30min,from_07_55_45min,from_12_45_45min,from_13_35_45min
188133030,0,0.0,0.0,0.0
188133013,109,109.0,109.0,109.0
188387455,109,109.0,109.0,109.0
188132832,135,135.0,135.0,135.0
188133053,155,155.0,155.0,155.0
188387094,149,149.0,149.0,149.0
188387162,181,181.0,181.0,181.0
188387520,167,167.0,167.0,167.0
188133050,173,173.0,173.0,173.0
188132878,170,170.0,170.0,170.0
188133063,177,177.0,177.0,177.0
188387571,162,162.0,162.0,162.0
188133046,214,214.0,214.0,214.0
188133020,171,171.0,171.0,171.0
188133069,168,168.0,168.0,168.0
188132862,190,190.0,190.0,190.0
188133039,211,211.0,211.0,211.0
188132846,175,175.0,175.0,175.0
188132910,219,219.0,219.0,219.0
188132893,213,213.0,213.0,213.0
188387598,188,188.0,188.0,188.0
188132953,189,189.0,189.0,189.0
188387179,195,195.0,195.0,195.0
188132905,199,199.0,199.0,199.0
188133067,206,206.0,206.0,206.0
188133007,217,217.0,217.0,217.0
188132899,223,223.0,223.0,223.0
188132874,233,233.0,233.0,233.0
188132840,227,227.0,227.0,227.0
188132955,212,212.0,212.0,212.0
188387509,223,223.0,223.0,223.0
188132858,220,220.0,220.0,220.0
91970954,238,238.0,238.0,238.0
188132868,268,268.0,268.0,268.0
188132944,255,255.0,255.0,255.0
188132968,240,240.0,240.0,240.0
188132886,242,242.0,242.0,242.0
188132914,252,252.0,252.0,252.0
188387275,246,246.0,246.0,246.0
188387359,264,264.0,264.0,264.0
188132911,241,241.0,241.0,241.0
188132912,283,283.0,283.0,283.0
188387474,252,252.0,252.0,252.0
188132906,278,278.0,278.0,278.0
188387363,256,256.0,256.0,256.0
188132926,271,271.0,271.0,271.0
188387217,268,268.0,268.0,268.0
188387451,261,261.0,261.0,261.0
188132847,263,263.0,263.0,263.0
188387409,268,268.0,268.0,268.0
188132974,267,267.0,267.0,267.0
188387097,271,271.0,271.0,271.0
188387441,288,288.0,288.0,288.0
188133066,294,294.0,294.0,294.0
188387385,279,279.0,279.0,279.0
188132881,293,293.0,293.0,293.0
188132863,274,274.0,274.0,274.0
188387587,288,288.0,288.0,288.0
188132988,291,291.0,291.0,291.0
188387414,282,282.0,282.0,282.0
188387126,283,283.0,283.0,283.0
188132829,295,295.0,295.0,295.0
188387462,286,286.0,286.0,286.0
188387129,300,300.0,300.0,300.0
188132843,298,298.0,298.0,298.0
188132977,319,319.0,319.0,319.0
188387096,298,298.0,298.0,298.0
188387478,296,296.0,296.0,296.0
188132929,285,285.0,285.0,285.0
665868101,305,305.0,305.0,305.0
188132836,341,341.0,341.0,341.0
188387564,298,298.0,298.0,298.0
188132831,302,302.0,302.0,302.0
188387557,300,300.0,300.0,300.0
188132887,328,328.0,328.0,328.0
188387268,303,303.0,303.0,303.0
188132923,318,318.0,318.0,318.0
188132976,328,328.0,328.0,328.0
188387264,326,326.0,326.0,326.0
188387323,318,318.0,318.0,318.0
188387589,310,310.0,310.0,310.0
188387301,330,330.0,330.0,330.0
188132869,320,320.0,320.0,320.0
